baggage_id,beacon_id
9029087422,AviAI_v1_001
246263725,AviAI_v1_002
6118269922,AviAI_v1_003
4563612984,AviAI_v1_004
1876848135,AviAI_v1_005
6352033775,AviAI_v1_006
9465128572,AviAI_v1_007
1868688275,AviAI_v1_008
1943563831,AviAI_v1_009
8495558268,AviAI_v1_010
5020393515,AviAI_v1_011
6894086029,AviAI_v1_012
7382446199,AviAI_v1_013
200539140,AviAI_v1_014
6555298907,AviAI_v1_015
7728241529,AviAI_v1_016
9850540331,AviAI_v1_017
4929050239,AviAI_v1_018
3034101885,AviAI_v1_019
6096643695,AviAI_v1_020
6028961617,AviAI_v1_021
3699552551,AviAI_v1_022
1757358289,AviAI_v1_023
3801717901,AviAI_v1_024
1771041576,AviAI_v1_025
586427948,AviAI_v1_026
9596185229,AviAI_v1_027
235415382,AviAI_v1_028
8228084324,AviAI_v1_029
2008912110,AviAI_v1_030
2020300847,AviAI_v1_031
2353016360,AviAI_v1_032
2881408836,AviAI_v1_033
6157321061,AviAI_v1_034
7583941807,AviAI_v1_035
6992134643,AviAI_v1_036
6785447485,AviAI_v1_037
5230089619,AviAI_v1_038
5630888538,AviAI_v1_039
8232653969,AviAI_v1_040
1470707768,AviAI_v1_041
8048162526,AviAI_v1_042
3674637850,AviAI_v1_043
4621237345,AviAI_v1_044
8299370334,AviAI_v1_045
8385625632,AviAI_v1_046
361028670,AviAI_v1_047
9992726739,AviAI_v1_048
6759530330,AviAI_v1_049
6484338399,AviAI_v1_050
6602092636,AviAI_v1_051
8099517941,AviAI_v1_052
6064805963,AviAI_v1_053
5675872186,AviAI_v1_054
5080578165,AviAI_v1_055
2142622241,AviAI_v1_056
4721960514,AviAI_v1_057
6115556927,AviAI_v1_058
4195844290,AviAI_v1_059
187798709,AviAI_v1_060
8612274562,AviAI_v1_061
6925590854,AviAI_v1_062
9266373062,AviAI_v1_063
5138041414,AviAI_v1_064
9188945968,AviAI_v1_065
9933598831,AviAI_v1_066
2260456309,AviAI_v1_067
534895057,AviAI_v1_068
581600874,AviAI_v1_069
5216718419,AviAI_v1_070
9617483982,AviAI_v1_071
390096785,AviAI_v1_072
889635171,AviAI_v1_073
7693893715,AviAI_v1_074
7704495455,AviAI_v1_075
3266707546,AviAI_v1_076
7757960419,AviAI_v1_077
3238128582,AviAI_v1_078
3861411286,AviAI_v1_079
9430402353,AviAI_v1_080
7986199396,AviAI_v1_081
5160376832,AviAI_v1_082
8406933836,AviAI_v1_083
5362568729,AviAI_v1_084
6420819807,AviAI_v1_085
2443938244,AviAI_v1_086
5926458491,AviAI_v1_087
374729513,AviAI_v1_088
2556551792,AviAI_v1_089
4790952262,AviAI_v1_090
6350994178,AviAI_v1_091
5834638295,AviAI_v1_092
1911720641,AviAI_v1_093
8144904653,AviAI_v1_094
5085963559,AviAI_v1_095
7211264912,AviAI_v1_096
7287514102,AviAI_v1_097
3068379911,AviAI_v1_098
4541955781,AviAI_v1_099
6719744537,AviAI_v1_100
7017865939,AviAI_v1_101
8475122988,AviAI_v1_102
4197335807,AviAI_v1_103
4234200267,AviAI_v1_104
7695794715,AviAI_v1_105
5520376049,AviAI_v1_106
693825046,AviAI_v1_107
3009121800,AviAI_v1_108
7021865874,AviAI_v1_109
8845885331,AviAI_v1_110
5750861445,AviAI_v1_111
7287317772,AviAI_v1_112
8893590286,AviAI_v1_113
9551857175,AviAI_v1_114
2941813335,AviAI_v1_115
3746681546,AviAI_v1_116
8071633574,AviAI_v1_117
7171609111,AviAI_v1_118
2221303064,AviAI_v1_119
3454178546,AviAI_v1_120
4357481209,AviAI_v1_121
7842349170,AviAI_v1_122
4058445796,AviAI_v1_123
3456449894,AviAI_v1_124
954769815,AviAI_v1_125
9785678748,AviAI_v1_126
7175166202,AviAI_v1_127
5282457191,AviAI_v1_128
8932106353,AviAI_v1_129
7411741551,AviAI_v1_130
9170151775,AviAI_v1_131
2358476547,AviAI_v1_132
838139896,AviAI_v1_133
6436645256,AviAI_v1_134
1540348751,AviAI_v1_135
951354545,AviAI_v1_136
2928038503,AviAI_v1_137
5341815060,AviAI_v1_138
